timestamp,type,value,rr_interval_sec
2026-03-03 10:53:01.753,SpO2,206911135469919080459228586,
2026-03-03 10:53:01.813,SpO2,156202697519810543864468906,
2026-03-03 10:53:01.821,heartbeat,81,0.75390625
2026-03-03 10:53:01.821,heartbeat,81,0.7294921875
2026-03-03 10:53:01.903,SpO2,296407304835988738859292074,
2026-03-03 10:53:02.024,SpO2,21973986012160057249060266,
2026-03-03 10:53:02.114,SpO2,197273007924412447475062186,
2026-03-03 10:53:02.143,SpO2,65842935968640997641870595498,
2026-03-03 10:53:02.173,SpO2,69246155756688810,
2026-03-03 10:53:02.203,SpO2,325843287320346378589610,
2026-03-03 10:53:02.204,SpO2,60635944995406601935345066,
2026-03-03 10:53:02.324,SpO2,148873288578866210795378090,
2026-03-03 10:53:02.413,SpO2,110249219496740391633245610,
2026-03-03 10:53:02.503,SpO2,261398244551685324623795626,
2026-03-03 10:53:02.623,SpO2,273435353188439414774125994,
2026-03-03 10:53:02.714,SpO2,47342483345845976170452394,
2026-03-03 10:53:02.804,SpO2,169439250241072736934778282,
2026-03-03 10:53:02.841,heartbeat,81,0.712890625
2026-03-03 10:53:02.923,SpO2,202070765527475906851853738,
2026-03-03 10:53:03.014,SpO2,245606280651570259336058282,
2026-03-03 10:53:03.133,SpO2,242083765274197710580176298,
2026-03-03 10:53:03.163,SpO2,65842935968640997641870595498,
2026-03-03 10:53:03.223,SpO2,69246155756688810,
2026-03-03 10:53:03.224,SpO2,325843287320346378589610,
2026-03-03 10:53:03.253,SpO2,186454325652243898606507434,
2026-03-03 10:53:03.313,SpO2,245649004324597990001956266,
2026-03-03 10:53:03.434,SpO2,95742184027911307561751978,
2026-03-03 10:53:03.523,SpO2,156160048287230754261259690,
2026-03-03 10:53:03.614,SpO2,233521800379724712918341034,
2026-03-03 10:53:03.734,SpO2,57065946758370531998651818,
2026-03-03 10:53:03.824,SpO2,13625304974075516857308586,
2026-03-03 10:53:03.831,heartbeat,81,0.69140625
2026-03-03 10:53:03.831,heartbeat,81,0.673828125
2026-03-03 10:53:03.943,SpO2,35340959456281628628702634,
2026-03-03 10:53:04.034,SpO2,291597648649240399664076202,
2026-03-03 10:53:04.124,SpO2,134423106480803556757558698,
2026-03-03 10:53:04.184,SpO2,65842935968640997641870595498,
2026-03-03 10:53:04.185,SpO2,69246155756688810,
2026-03-03 10:53:04.213,SpO2,325843287320346378589610,
2026-03-03 10:53:04.214,SpO2,17095670538720688395474346,
2026-03-03 10:53:04.333,SpO2,233479150928706047736501674,
2026-03-03 10:53:04.423,SpO2,209328931552461860589491626,
2026-03-03 10:53:04.514,SpO2,222930512924870487384741290,
2026-03-03 10:53:04.633,SpO2,132789964288282197270418858,
2026-03-03 10:53:04.723,SpO2,193717362487167903004054954,
2026-03-03 10:53:04.822,heartbeat,82,0.666015625
2026-03-03 10:53:04.844,SpO2,20822006521564209871803818,
2026-03-03 10:53:04.933,SpO2,249242614248097035670476202,
2026-03-03 10:53:05.024,SpO2,181500081643467947631400362,
2026-03-03 10:53:05.114,SpO2,244345242201792300956210602,
2026-03-03 10:53:05.173,SpO2,65842935968640997641870595498,
2026-03-03 10:53:05.174,SpO2,69246155756688810,
2026-03-03 10:53:05.203,SpO2,325843287320346378589610,
2026-03-03 10:53:05.233,SpO2,220161947813423952583153066,
2026-03-03 10:53:05.323,SpO2,295442264789131892689425834,
2026-03-03 10:53:05.474,SpO2,144298464002452335788774826,
2026-03-03 10:53:05.533,SpO2,7542823449786044088538538,
2026-03-03 10:53:05.623,SpO2,207001305108135922956719530,
2026-03-03 10:53:05.773,SpO2,251660484334352942217778602,
2026-03-03 10:53:05.833,SpO2,95671089336396388108293546,
2026-03-03 10:53:05.841,heartbeat,83,0.669921875
2026-03-03 10:53:05.953,SpO2,82353941778364820639143338,
2026-03-03 10:53:06.043,SpO2,25515464713644752438777258,
2026-03-03 10:53:06.133,SpO2,248052391906696012441277866,
